hemi_x,hemi_y,n,r,p
l,l,9,0.4092008543724716,0.2741167974183426
r,r,9,-0.14771271831722488,0.7044999904073268
l,r,9,0.2836001161005021,0.45958953025883864
r,l,9,0.1430722997854108,0.7134616403713886
