subject,roi,hemi,n_voxels,r_w1_com_ind_face_first,r_w2_ind_face_noncom,r_b1_com_ind_face_noncom,r_b2_face_first_ind,decoding_index
1,SI-STS,l,220,0.5071062009208754,0.4584522387233161,-0.1400407716912501,0.2119867344889127,0.4468062384232644
1,SI-STS,r,196,0.4251970422193376,0.7884479088380536,0.739354480832721,0.6453811755729854,-0.0855453526741575
1,TPJ,l,313,0.6180008456910875,-0.1081368483189706,0.5470520713490346,0.2046229636324004,-0.120905518804659
1,TPJ,r,322,0.5968470260363117,0.7972658959330824,0.7932919178535857,0.5025290207161964,0.0491459916998059
1,fSTS,l,23,0.6686867742561166,-0.1747374251431353,0.0089563800388399,0.4847307785935157,0.0001310952403127
1,fSTS,r,91,0.6648635430116897,0.8768405478128168,0.884662311475326,0.8212458120449102,-0.0821020163478648
1,FFA,l,106,0.8658704451423233,0.8826108848046166,0.8852157142409599,0.8831392342420501,-0.009936809268035
1,FFA,r,107,0.6747520729544345,0.9144033722869118,0.8921670590104791,0.789886364875286,-0.0464489893222093
1,EBA,l,114,0.6893357863834706,0.8577877541173288,0.8413582503901273,0.6459759925346683,0.0298946487880018
1,EBA,r,152,0.9326579202862036,0.9777779927636174,0.967919604749219,0.9423932115094232,6.154839558930592e-05
1,EVC,l,249,0.8980374156027022,0.9493160750344324,0.9481920471571036,0.92371648551409,-0.0122775210170296
1,EVC,r,263,0.9340577837126316,0.9107824117439,0.9344745080410484,0.9249256517985852,-0.0072799821915509
1,MT,l,166,0.8340140815306204,0.943910381917112,0.9493528702582305,0.8289911624149322,-0.0002097846127152
1,MT,r,165,0.8606343968256835,0.8766584779323471,0.8564603876766936,0.8503654936448409,0.0152334967182479
2,SI-STS,l,220,0.9247668069251912,0.9653695271029094,0.971950012288386,0.9169817572773435,0.0006022822311853
2,SI-STS,r,196,0.9817539480428852,0.9836421530940916,0.9815279379793688,0.9793247531360414,0.0022717050107832
2,fSTS,l,23,0.8439688186999607,0.6182237917955817,0.6015345562926216,0.8405870028760858,0.0100355256634175
2,fSTS,r,91,0.8721438191474268,0.8118560596791257,0.8741747181270803,0.7305378680178871,0.0396436463407925
2,FFA,l,106,0.9798965948510407,0.9748926190051646,0.9828050038892576,0.9829195261813614,-0.0054676581072067
2,FFA,r,107,0.8082573292424522,0.9090167117020348,0.9057459927135404,0.6318681438518563,0.0898299521895452
2,EBA,l,114,0.9326308047876288,0.9254050705475352,0.9309042097631686,0.909660269931722,0.0087356978201367
2,EBA,r,152,0.8207778548946102,0.8711981851159157,0.9112079325672378,0.7784552437510218,0.0011564318461331
2,EVC,l,249,0.98971095421571,0.9882105933402952,0.9853771559485324,0.9846741710464416,0.0039351102805156
2,EVC,r,263,0.9305786291314764,0.908689520828132,0.8988215322151404,0.9345495111834212,0.0029485532805233
2,MT,l,166,0.955286696088908,0.9594710419289744,0.9586791199641131,0.9695564701686452,-0.0067389260574379
2,MT,r,165,0.985852403400192,0.9519997267983894,0.9791665194740808,0.9743223486465274,-0.0078183689610134
3,SI-STS,l,220,0.8878034515871258,0.7792585246215753,0.5997696085968663,0.7389596788871169,0.164166344362359
3,SI-STS,r,196,0.8905571968959674,0.7921864096069834,0.5515368038829447,0.8057670797947708,0.1627198614126176
3,TPJ,l,313,0.9344261157829412,0.8293896338873721,0.689224811892598,0.8339819245513531,0.120304506613181
3,TPJ,r,322,0.9642402208593503,0.7256110203929188,0.463265368617637,0.922511425694151,0.1520372234702405
3,fSTS,l,23,0.7073088736086128,0.7555139303629935,0.7781017759915848,0.0217022920422252,0.331509367968898
3,fSTS,r,91,0.989074917247274,0.9636724921095626,0.8903618585062201,0.953412206449318,0.0544866722006491
3,FFA,l,106,0.8175364773012428,0.6221152897184774,0.5754898481566296,0.7390112515785286,0.0625753336422809
3,FFA,r,107,0.9282657988242488,0.9029070087228344,0.9098486806277628,0.8316207599387387,0.0448516834902908
3,EBA,l,114,0.929722262107788,0.961510417357228,0.913710180563952,0.9198199689663776,0.0288512649673432
3,EBA,r,152,0.9326722897063976,0.9298884237034426,0.919146837862821,0.9322540286791388,0.0055799234339402
3,EVC,l,249,0.9716477052804874,0.9785104878377524,0.9789203008125636,0.9592163400306672,0.0060107761375044
3,EVC,r,263,0.9074072408669897,0.8420710016109444,0.8722887086200346,0.8611014106399343,0.0080440616089825
3,MT,l,166,0.98726123602934,0.9901900871121224,0.9855637263579332,0.9699197196869824,0.0109839385482735
3,MT,r,165,0.9627238706861512,0.9890876902648792,0.988988365732282,0.944216101187742,0.0093035470155031
4,SI-STS,l,220,0.7341654956767751,0.890963685978343,0.9139869905739084,0.7024218729658273,0.0043601590576911
4,SI-STS,r,196,0.8060989961985543,0.8942369934730661,0.9194497357569534,0.6213685957844081,0.0797588290651294
4,TPJ,l,313,0.862058780224301,0.7357611602929028,0.8646340336392556,0.7999174141964711,-0.0333657536592613
4,TPJ,r,322,0.7948742452885834,0.7899935650724195,0.8913810291076516,0.7867171597266319,-0.0466151892366403
4,fSTS,l,23,0.9602417306191472,0.9862623560479166,0.9772466729142368,0.9255610177228546,0.0218481980149861
4,fSTS,r,91,0.8336287421331052,0.9058449799536464,0.9528366992519028,0.6454461672110715,0.0705954278118887
4,FFA,l,106,0.9722622349663378,0.9735828343516244,0.9746418310000542,0.95380822624007,0.008697506038919
4,FFA,r,107,0.8780270958873908,0.9620041667839934,0.9035755226800212,0.8461900147510764,0.0451328626201433
4,EBA,l,114,0.9458434716445964,0.868746114702719,0.9415493155133096,0.8952657493660292,-0.0111127392660117
4,EBA,r,152,0.8834797164724341,0.787577418783546,0.8032416360949632,0.8919400422092242,-0.0120622715241037
4,EVC,l,249,0.906258113270112,0.952307504839326,0.9475830393481688,0.8738375454656201,0.0185725166478244
4,EVC,r,263,0.901323178651944,0.909538805527986,0.8757568829201325,0.914534024571104,0.0102855383443467
4,MT,l,166,0.8658481655544042,0.9591757894806446,0.941284545767438,0.8422435802992755,0.0207479144841676
4,MT,r,165,0.5892663997190177,0.8685531127922059,0.928166975355909,0.4203536829585138,0.0546494270984004
5,SI-STS,l,220,0.9196011099881064,0.9414126791675264,0.8907605351622857,0.8996471486219195,0.0353030526857137
5,SI-STS,r,196,0.7801471706785966,0.7460324556769651,0.704153518492199,0.6966484393794353,0.0626888342419636
5,TPJ,l,313,0.7999256152478039,0.7635212179982884,0.6862762782100966,0.7553803985048839,0.0608950782655559
5,TPJ,r,322,0.7542236005042875,0.5241829393291305,0.6771656785197249,0.6583382757551973,-0.0285487072207521
5,fSTS,l,23,0.9619273996071336,0.97736223805,0.92371272228249,0.9582620850067934,0.028657415183925
5,fSTS,r,91,0.9131867527559616,0.9298511034406768,0.9697560624284152,0.7882133926166484,0.0425342005757875
5,FFA,l,106,0.8790747304481716,0.8344547925937975,0.8942389099262685,0.8193299495864488,-1.96682353740818e-05
5,FFA,r,107,0.8498896876253901,0.693460932856154,0.8119882174750896,0.7456231302893433,-0.0071303636414444
5,EBA,l,114,0.1979552076406459,0.7828459627037851,0.8040367569653558,-0.0005807916333843,0.0886726025062298
5,EBA,r,152,0.4878919585119726,0.4408335715290328,0.5767748331027481,0.3975777046925986,-0.0228135038771706
5,EVC,l,249,0.9763612550485242,0.9727463901457916,0.9789545708008488,0.9669893754600932,0.001581849466687
5,EVC,r,263,0.9327185845384716,0.9084893823949132,0.9053830037461468,0.9363562210663025,-0.000265628939532
5,MT,l,166,0.5509826252821802,0.8266346074375079,0.7496328990209777,0.6742391488783711,-0.0231274075898302
5,MT,r,165,0.8700163242090527,0.840482128457646,0.907759140511533,0.7798378693922665,0.0114507213814495
7,SI-STS,l,220,0.8784821031859239,0.9426229068993116,0.9284788572073576,0.9004233757061832,-0.0038986114141525
7,SI-STS,r,196,0.8420509794420812,0.9017863817774934,0.8798136396535219,0.8468376712120448,0.0085930251770039
7,TPJ,l,313,0.8340916595696328,0.9245066091052416,0.9102567873178328,0.847870590438094,0.0002354454594737
7,TPJ,r,322,0.7828517982454106,0.9544918037835568,0.9460182657811568,0.804984440947188,-0.0068295523496888
7,fSTS,l,23,0.9827985373506904,0.9675521175860958,0.9483334376252056,0.9601963813118564,0.0209104179998623
7,fSTS,r,91,0.988036676583455,0.9910589706014298,0.9760840533573756,0.9922237811647038,0.0053939063314027
7,FFA,l,106,0.9206985739763638,0.958044047584806,0.9625872507038268,0.9080937158432332,0.0040308275070548
7,FFA,r,107,0.9256744521990772,0.964241608985284,0.9425429121910784,0.9448274315790508,0.0012728587071159
7,EBA,l,114,0.9310188858990736,0.952470642081777,0.9542764646977444,0.9568036616937514,-0.0137952992053225
7,EBA,r,152,0.9143137685027906,0.943505768965486,0.9226904853059792,0.9107941907928464,0.0121674306847254
7,EVC,l,249,0.8677308799701732,0.9324435610968816,0.9013715921461072,0.8982813626043447,0.0002607431583013
7,EVC,r,263,0.8923786328064888,0.9129338686362868,0.8943010170639236,0.9045442784315942,0.0032336029736288
7,MT,l,166,0.8517591914662664,0.7174651377368985,0.7578497095734733,0.8570059186301527,-0.0228156495002305
7,MT,r,165,0.9371053509465062,0.8868941361362306,0.90602614552724,0.9555776661807964,-0.0188021623126499
8,SI-STS,l,220,0.848276610672875,0.8816206037032873,0.8492786215558834,0.6806648594886374,0.0999768666658207
8,SI-STS,r,196,0.8657863298771504,0.952570103281171,0.9484856596804668,0.7741535391761627,0.0478586171508458
8,TPJ,l,313,0.9065867979195856,0.905393940937854,0.9323527210334986,0.9079437874526728,-0.014157884814366
8,TPJ,r,322,0.871739526502087,0.9436017768460538,0.8946188892858903,0.9451711439068587,-0.0122243649223041
8,fSTS,l,23,0.7776496716807602,0.952301213142292,0.8624842870686394,0.631963201909014,0.1177516979226994
8,fSTS,r,91,0.9433472578326262,0.9213228733579693,0.9168128041368538,0.8734611403247217,0.03719809336451
8,FFA,l,106,0.7049683771377512,0.9042477972780072,0.8894913696054288,0.716916960451616,0.0014039221793566
8,FFA,r,107,0.9021435809051098,0.9458791763273532,0.90420638394335,0.93172652516653,0.0060449240612915
8,EBA,l,114,0.8685323249873379,0.9311589546548744,0.8802324176645925,0.8856144422035375,0.0169222098870411
8,EBA,r,152,0.4679136950617383,0.871028436739447,0.8858594784510775,0.4367671816373205,0.0081577358563936
8,EVC,l,249,0.9841054830923944,0.9905766568672656,0.9786577822547966,0.9625374978206676,0.0167434299420978
8,EVC,r,263,0.9464045881291472,0.9252887664813556,0.8982500664406657,0.9101781951576312,0.0316325465061029
8,MT,l,166,0.9124179088020988,0.9829032292417564,0.9863119060796404,0.9093941844595144,-0.0001924762476496
8,MT,r,165,0.9440478393785872,0.9626341022407352,0.9638724130193922,0.934807961211404,0.0040007836942631
9,SI-STS,l,220,0.9235424386801732,0.9708642033937936,0.9796591672516656,0.9033619840459955,0.0056927453881529
9,SI-STS,r,196,0.8008649268194263,0.9472254498800422,0.9550944962414276,0.6927643109712935,0.0501157847433736
9,TPJ,l,313,0.7894180941043782,0.9338463531999652,0.968670688831336,0.7267398565582022,0.0139269509574025
9,TPJ,r,322,0.9435843084127924,0.9661438538981056,0.966045875986972,0.9122051556907405,0.0157385653165927
9,fSTS,l,23,0.6679169357028892,0.9240163612438514,0.943163536271644,0.6111810152673597,0.0187943727038684
9,fSTS,r,91,0.7971681306708533,0.9541016910220134,0.952552010413068,0.6193920827543409,0.0896628642627289
9,FFA,l,106,0.9068177894964036,0.8331315412996385,0.8699183810660907,0.9003116817258328,-0.0151403659979407
9,FFA,r,107,0.9135681504201048,0.7827964833087921,0.8653531664950913,0.855926216636018,-0.0124573747011061
9,EBA,l,114,0.8831261192274094,0.9005312942442799,0.9401142578675836,0.825357188874834,0.0090929833646357
9,EBA,r,152,0.8610176210867385,0.6165825040854339,0.8298148104325821,0.6354185069587585,0.0061834038904159
9,EVC,l,249,0.9514652748255455,0.9743577356105356,0.972627239571465,0.9504568751415292,0.0013694478615435
9,EVC,r,263,0.8107964578888237,0.7726604673314038,0.791508069792853,0.7743550296423504,0.008796912892512
9,MT,l,166,0.4295627055291489,0.8869560185111562,0.9168356711393846,0.518969944860521,-0.0596434459798002
9,MT,r,165,0.9516674776276132,0.8032109384581506,0.9127457792065028,0.9271621176938832,-0.0425147404073111
11,SI-STS,l,220,0.863601659977693,0.969612737402183,0.941890852484624,0.8514848295748316,0.0199193576602101
11,SI-STS,r,196,0.937939023474593,0.9831376053262006,0.9777255634175388,0.8927705952861554,0.0252902350485497
11,TPJ,l,313,0.8370071549890498,0.9256406319186988,0.92894256274664,0.7555829381176086,0.0390611430217499
11,TPJ,r,322,0.949937667006584,0.9424888562033272,0.9319081609260248,0.9343759498199896,0.0130712062319485
11,fSTS,l,23,0.9298371461392768,0.9434754831224936,0.74205208923164,0.5510468029837761,0.2901068685231772
11,fSTS,r,91,0.9850087821890487,0.9924957438937864,0.9856847367799416,0.9739206510987138,0.0089495691020898
11,FFA,l,106,0.8297588254058161,0.9110469621554362,0.8303579737149632,0.8744722638254997,0.0179877750103947
11,FFA,r,107,0.961757457504481,0.932466395179369,0.949775354824211,0.8955118146489655,0.0244683416053367
11,EBA,l,114,0.8038661909479953,0.9460646599793792,0.9559998894578456,0.7830024459746913,0.0054642577474187
11,EBA,r,152,0.7909072194038215,0.9290090058748632,0.9386383754027232,0.7751287353150685,0.0030745572804464
11,EVC,l,249,0.9412025352631258,0.9656486042870828,0.9714767808749524,0.9261297778906477,0.0046222903923041
11,EVC,r,263,0.9149049604442548,0.8794435865724072,0.8989339557607999,0.8975832103041312,-0.0010843095241345
11,MT,l,166,0.8065182839480457,0.8609825391732034,0.8617875670521805,0.8273875976867192,-0.0108371708088252
11,MT,r,165,0.7709786979885581,0.7868350507831815,0.7692251285812267,0.7908106880116055,-0.0011110339105462
12,SI-STS,l,220,0.8392797892908832,0.8615286715689312,0.893219445121385,0.6092810392122439,0.0991539882630928
12,SI-STS,r,196,0.830443410121877,0.7674114294559181,0.764200090107111,0.8528025613232154,-0.0095739059262656
12,TPJ,l,313,0.9639759036877004,0.8898650793066702,0.9602890774270252,0.9155423336599674,-0.0109952140463109
12,TPJ,r,322,0.7973699709926811,0.9051648120349968,0.7602599302872891,0.943839872475862,-0.0007825098677367
12,fSTS,l,23,0.8679511555105001,0.9491893920522524,0.8912912721067087,0.9607759379254311,-0.0174633312346935
12,fSTS,r,91,0.7368016977844329,0.8126445199925723,0.9106011384557732,0.6262444105982629,0.0063003343614845
12,FFA,l,106,0.9455845763694172,0.9331187036936176,0.964195027847553,0.9236448933585388,-0.0045683205715285
12,FFA,r,107,0.9874911586302348,0.990327557505465,0.9932096410908958,0.9843952772505098,0.000106898897147
12,EBA,l,114,0.6208388575431343,0.5605489021773293,0.6716150410230355,0.5004476463043841,0.004662536196522
12,EBA,r,152,0.8478648027288566,0.7336925341688567,0.8475424955406831,0.7277032707448888,0.0031557853060707
12,EVC,l,249,0.8104125011439706,0.7744805684791881,0.8603560483257084,0.7023918283551841,0.011072596471133
12,EVC,r,263,0.874340242380881,0.7877249216155352,0.7785767230977961,0.859320426302714,0.012084007297953
12,MT,l,166,0.947696798027903,0.9383905182882624,0.9651875859105772,0.9263093704580366,-0.0027048200262244
12,MT,r,165,0.7186925497445296,0.8015484654136859,0.8690110565142337,0.585683632282495,0.0327731631807434
