hemi_x,hemi_y,n,r,p
l,l,20,0.5229784537773342,0.017978758442270756
r,r,20,-0.025439380271257334,0.915217748346196
l,r,20,0.44271029979785353,0.050611058331418664
r,l,20,0.02096941251383652,0.9300762471560423
