hemi,roi,trial_type,run,response,subject_label
r,EBA,ind,4.0,0.6751591537428163,sub-01
r,EBA,interact,1.5,0.359799919687426,sub-01
r,EBA,noninteract,1.5,0.2790715290970379,sub-01
r,EBA,object,4.0,0.5140340217921378,sub-01
r,EBA,photo,0.5,-0.1726891906497653,sub-01
r,EBA,phy,4.0,0.7657918332791,sub-01
r,EVC,belief,0.5,1.7373749826580287,sub-01
r,EVC,body,4.0,0.934569121665862,sub-01
r,EVC,com_ind,4.0,1.1201214119839582,sub-01
r,EVC,com_phy,4.0,1.4771510990257324,sub-01
r,EVC,face_first,4.0,1.0034341152286348,sub-01
r,EVC,face_noncom,4.0,1.153877073843559,sub-01
r,EVC,face_third,4.0,1.0601348559883117,sub-01
r,EVC,ind,4.0,1.3311806423877768,sub-01
r,EVC,interact,1.5,0.433352925778342,sub-01
r,EVC,noninteract,1.5,0.5035078727514941,sub-01
r,EVC,object,4.0,1.1438657311754592,sub-01
r,EVC,photo,0.5,1.6185269887393576,sub-01
r,EVC,phy,4.0,1.1443629842295062,sub-01
r,FFA,belief,0.5,0.5376480182228262,sub-01
r,FFA,body,4.0,0.2422361318120764,sub-01
r,FFA,com_ind,4.0,0.8508325718985431,sub-01
r,FFA,com_phy,4.0,0.9503134490394404,sub-01
r,FFA,face_first,4.0,0.9706782319714456,sub-01
r,FFA,face_noncom,4.0,0.9037362811820112,sub-01
r,FFA,face_third,4.0,0.8489525858671624,sub-01
r,FFA,ind,4.0,0.9243349047448391,sub-01
r,FFA,interact,1.5,0.0539684032453184,sub-01
r,FFA,noninteract,1.5,-0.0044503306380714,sub-01
r,FFA,object,4.0,0.3941248988927854,sub-01
r,FFA,photo,0.5,0.4303307162661586,sub-01
r,FFA,phy,4.0,0.6714640029587599,sub-01
r,MT,belief,0.5,0.4108336662319798,sub-01
r,MT,body,4.0,1.7698908797342996,sub-01
r,MT,com_ind,4.0,1.320145998438402,sub-01
r,MT,com_phy,4.0,1.8136175288562664,sub-01
r,MT,face_first,4.0,1.0743953635246053,sub-01
r,MT,face_noncom,4.0,1.397600261838731,sub-01
r,MT,face_third,4.0,1.3124225888383632,sub-01
r,MT,ind,4.0,1.3651902141333403,sub-01
r,MT,interact,1.5,1.0666670148901345,sub-01
r,MT,noninteract,1.5,1.0763851794921415,sub-01
r,MT,object,4.0,1.5284506117839256,sub-01
r,MT,photo,0.5,0.3946993226462753,sub-01
r,MT,phy,4.0,1.712585063213678,sub-01
r,SI-STS,belief,0.5,0.0955686560532491,sub-01
r,SI-STS,body,1.5,-0.1479946807924862,sub-01
r,SI-STS,com_ind,1.5,0.2631054653099531,sub-01
r,SI-STS,com_phy,1.5,0.1439793724964759,sub-01
r,SI-STS,face_first,1.5,0.0464654408961084,sub-01
r,SI-STS,face_noncom,1.5,0.3407334453960907,sub-01
r,SI-STS,face_third,1.5,0.3258557734406931,sub-01
r,SI-STS,ind,1.5,0.2408196123256235,sub-01
r,SI-STS,interact,1.5,0.2271259527472147,sub-01
r,SI-STS,noninteract,1.5,0.0259924193721196,sub-01
r,SI-STS,object,1.5,0.0175608483287541,sub-01
r,SI-STS,photo,0.5,-0.2819953704248751,sub-01
r,SI-STS,phy,1.5,0.2801437133203184,sub-01
r,TPJ,belief,0.5,0.101178286361421,sub-01
r,TPJ,body,0.5,-0.5246051548940801,sub-01
r,TPJ,com_ind,0.5,0.4261243581458013,sub-01
r,TPJ,com_phy,0.5,-0.2193269715735672,sub-01
r,TPJ,face_first,0.5,-0.4467763248114311,sub-01
r,TPJ,face_noncom,0.5,-0.1610089955185377,sub-01
r,TPJ,face_third,0.5,-0.1159149064948584,sub-01
r,TPJ,ind,0.5,0.1806593228622374,sub-01
r,TPJ,interact,0.5,0.1679336777973605,sub-01
r,TPJ,noninteract,0.5,-0.0086839542636703,sub-01
r,TPJ,object,0.5,-0.1842672231298625,sub-01
r,TPJ,photo,0.5,-0.4741464440472064,sub-01
r,TPJ,phy,0.5,0.1325504155567848,sub-01
r,fSTS,belief,0.5,-0.093187531584018,sub-01
r,fSTS,body,4.0,-0.0250395431894052,sub-01
r,fSTS,com_ind,4.0,0.1675388753987098,sub-01
r,fSTS,com_phy,4.0,0.2244551041751923,sub-01
r,fSTS,face_first,4.0,0.1629970220004698,sub-01
r,fSTS,face_noncom,4.0,0.2204621573558431,sub-01
r,fSTS,face_third,4.0,0.2165335961146045,sub-01
r,fSTS,ind,4.0,0.1557927736337583,sub-01
r,fSTS,interact,1.5,0.1155341044300622,sub-01
r,fSTS,noninteract,1.5,-0.0862824439885585,sub-01
r,fSTS,object,4.0,-0.06355894468413,sub-01
r,fSTS,photo,0.5,-0.1878595735967986,sub-01
r,fSTS,phy,4.0,0.1251118668323299,sub-01
l,EBA,body,4.0,1.2981560748419954,sub-02
l,EBA,com_ind,4.0,1.254748277795091,sub-02
l,EBA,com_phy,4.0,1.4711517142459891,sub-02
l,EBA,face_first,4.0,0.5498660540992109,sub-02
l,EBA,face_noncom,4.0,1.020988504697152,sub-02
l,EBA,face_third,4.0,0.7634222078815256,sub-02
l,EBA,ind,4.0,1.052265062430915,sub-02
l,EBA,interact,1.5,0.6797163593515707,sub-02
l,EBA,noninteract,1.5,0.6918083328876993,sub-02
l,EBA,object,4.0,0.6175887102384539,sub-02
l,EBA,phy,4.0,1.6322185834351164,sub-02
l,EVC,body,4.0,4.188578309183845,sub-02
l,EVC,com_ind,4.0,5.152977650995526,sub-02
l,EVC,com_phy,4.0,5.177185936173932,sub-02
l,EVC,face_first,4.0,4.848984534067635,sub-02
l,EVC,face_noncom,4.0,4.349143626829895,sub-02
l,EVC,face_third,4.0,4.657142949625761,sub-02
l,EVC,ind,4.0,5.001922550025532,sub-02
l,EVC,interact,1.5,2.218668412463673,sub-02
l,EVC,noninteract,1.5,2.725060667430952,sub-02
l,EVC,object,4.0,5.025393730890016,sub-02
l,EVC,phy,4.0,5.227359426952456,sub-02
l,FFA,body,4.0,0.725568209623559,sub-02
l,FFA,com_ind,4.0,1.6782062269418654,sub-02
l,FFA,com_phy,4.0,1.6801006521708464,sub-02
