subject,roi,hemi,n_voxels,pair,cond1,cond2,r_w1_reliability,r_w2_reliability,r_b_between,within_decoding_index
1,SI-STS,l,220,dyad,com_ind,ind,-0.4397393791831531,-0.3045808655052904,-0.3385048967449617,-0.03365522559926
1,SI-STS,l,220,face,face_first,face_noncom,-0.7005929166377041,-0.1432138683214148,-0.2831656477346839,-0.1387377447448755
1,TPJ,l,313,dyad,com_ind,ind,-0.0256859524478062,0.2145871980787944,-0.1332418621041804,0.2276924849196745
1,TPJ,l,313,face,face_first,face_noncom,-0.3085870115563746,0.2069693614848169,0.0043501219027368,-0.0551589469385156
1,fSTS,l,23,dyad,com_ind,ind,0.2776170037038673,0.0704311297022667,0.1958130371305988,-0.0217889704275317
1,fSTS,l,23,face,face_first,face_noncom,-0.1536424775887671,-0.0298054832433546,-0.1084877146171518,0.0167637342010909
1,FFA,l,106,dyad,com_ind,ind,0.0481194462260559,-0.0928453611197469,-0.0070566111521991,-0.0153063462946464
1,FFA,l,106,face,face_first,face_noncom,0.0469127892618064,-0.1387751207647836,-0.0430002362641828,-0.0029309294873057
1,EBA,l,111,dyad,com_ind,ind,0.268513190742279,-0.038010632503497,0.112966819639227,0.0022844594801639
1,EBA,l,111,face,face_first,face_noncom,0.0877244075680576,-0.2114994649389054,0.2281859767855097,-0.2900735054709336
1,EVC,l,249,dyad,com_ind,ind,0.0908155399435707,-0.1192445941371417,-0.019144383535886,0.0049298564391005
1,EVC,l,249,face,face_first,face_noncom,-0.1996184556344848,0.0761160764885691,-0.0516611007454553,-0.0100900888275024
1,MT,l,166,dyad,com_ind,ind,0.1649661918810352,0.111086698823005,0.1585011728359745,-0.0204747274839543
1,MT,l,166,face,face_first,face_noncom,0.394961601200078,-0.0098056408929037,0.2173445642213693,-0.0247665840677822
1,SI-STS,r,179,dyad,com_ind,ind,0.1421091218739331,0.1193677436559114,0.1699236877606794,-0.0391852549957571
1,SI-STS,r,179,face,face_first,face_noncom,0.0353908444688352,0.1273349367245365,-0.0076194277732652,0.0889823183699511
1,TPJ,r,322,dyad,com_ind,ind,-0.0649709485326688,-0.2305324784261873,-0.2207705213732744,0.0730188078938463
1,TPJ,r,322,face,face_first,face_noncom,-0.1261465038954949,-0.1509512867575579,-0.1661630871971499,0.0276141918706235
1,fSTS,r,80,dyad,com_ind,ind,-0.5871473162720691,-0.493656426571281,-0.4800741901515033,-0.0603276812701717
1,fSTS,r,80,face,face_first,face_noncom,-0.6146913581779493,0.0505955361004319,-0.2308132703034599,-0.0512346407352987
1,FFA,r,107,dyad,com_ind,ind,-0.0310859511415636,0.1624186078814143,0.047950674072684,0.0177156542972413
1,FFA,r,107,face,face_first,face_noncom,0.0670245159895868,0.1894003975798091,0.1002281740536071,0.0279842827310908
1,EBA,r,118,dyad,com_ind,ind,0.1283771867226785,0.0605057770099449,0.1049005734738089,-0.0104590916074971
1,EBA,r,118,face,face_first,face_noncom,0.1247398910247931,-0.2240079270415299,0.145242076821116,-0.1948760948294844
1,EVC,r,263,dyad,com_ind,ind,-0.2902929066072977,-0.2886910773718389,-0.287979642589208,-0.0015123494003602
1,EVC,r,263,face,face_first,face_noncom,-0.4434586767582066,-0.354261115118212,-0.4125312859361431,0.0136713899979337
1,MT,r,165,dyad,com_ind,ind,-0.1836744668669496,-0.1333909792104456,-0.1535028831771177,-0.0050298398615798
1,MT,r,165,face,face_first,face_noncom,0.0599954368722289,-0.1374193515573415,-0.0360522729879718,-0.0026596843545844
2,SI-STS,l,218,dyad,com_ind,ind,0.9413116345500288,0.9454203514763032,0.931621638693648,0.0117443543195179
2,SI-STS,l,218,face,face_first,face_noncom,0.8967093871178231,0.9566934297949008,0.8824988580830542,0.0442025503733077
2,fSTS,l,23,dyad,com_ind,ind,0.7976115870446073,0.8545651042208697,0.7663884584763312,0.0596998871564073
2,fSTS,l,23,face,face_first,face_noncom,0.9060249601237762,0.4389466603324364,0.6550054989173555,0.0174803113107508
2,FFA,l,106,dyad,com_ind,ind,0.923020942531446,0.9698300024659968,0.9497522965602572,-0.0033268240615356
2,FFA,l,106,face,face_first,face_noncom,0.9268218500747524,0.9566292208813576,0.9258942575185314,0.0158312779595235
2,EBA,l,113,dyad,com_ind,ind,0.9696655024537166,0.9762854751236568,0.9760526556786612,-0.0030771668899743
2,EBA,l,113,face,face_first,face_noncom,0.9551295576957166,0.9727109512422,0.8551699013131022,0.108750353155856
2,EVC,l,249,dyad,com_ind,ind,0.9841453700304196,0.9862495090240506,0.983570107876061,0.001627331651174
2,EVC,l,249,face,face_first,face_noncom,0.9837946489146344,0.9861590429452534,0.9786389174283217,0.0063379285016222
2,MT,l,166,dyad,com_ind,ind,0.9821474994989297,0.987741232340094,0.9777870905289622,0.0071572753905496
2,MT,l,166,face,face_first,face_noncom,0.9880888730890858,0.9864107291217376,0.9688135106582404,0.0184362904471714
2,SI-STS,r,184,dyad,com_ind,ind,0.9810806781635126,0.9918621243847414,0.986155672172795,0.000315729101332
2,SI-STS,r,184,face,face_first,face_noncom,0.9753308235709924,0.9782108921032172,0.9664599128963618,0.010310944940743
2,fSTS,r,86,dyad,com_ind,ind,0.9189557928780598,0.9649449852447974,0.8964338715641514,0.0455165174972772
2,fSTS,r,86,face,face_first,face_noncom,0.9773822208342284,0.8766824711575372,0.8411087929331043,0.0859235530627785
2,FFA,r,107,dyad,com_ind,ind,0.9361124664248118,0.9396680703931588,0.8737534642748691,0.0641368041341162
2,FFA,r,107,face,face_first,face_noncom,0.93816327157734,0.9126401105403368,0.7415579476676227,0.1838437433912155
2,EBA,r,131,dyad,com_ind,ind,0.9382617699395774,0.9596430802321112,0.9406063997196928,0.0083460253661515
2,EBA,r,131,face,face_first,face_noncom,0.897493214687445,0.9564177934496334,0.8357027736135159,0.0912527304550233
2,EVC,r,263,dyad,com_ind,ind,0.979547406153472,0.9834421935362304,0.981553179769878,-5.837992502688572e-05
2,EVC,r,263,face,face_first,face_noncom,0.9603000980710696,0.9196839866490556,0.9434634923242674,-0.0034714499642048
2,MT,r,165,dyad,com_ind,ind,0.9240181034987204,0.9689139759975686,0.9440919037235342,0.0023741360246103
2,MT,r,165,face,face_first,face_noncom,0.9616223567429758,0.9654679608366112,0.9370884496457024,0.0264567091440911
3,SI-STS,l,205,dyad,com_ind,ind,0.925298481010351,0.6923142023692948,0.7555065877425455,0.0532997539472772
3,SI-STS,l,205,face,face_first,face_noncom,0.8055760863095444,0.7008500618064918,0.3744910556079862,0.3787220184500318
3,TPJ,l,313,dyad,com_ind,ind,0.6319679033569267,0.3440915811757598,0.5016773509975438,-0.0136476087312006
3,TPJ,l,313,face,face_first,face_noncom,0.7629505453791268,0.7042250146143877,0.674564922648763,0.0590228573479941
3,fSTS,l,23,dyad,com_ind,ind,0.4953724726379597,0.9043912347312494,0.5467147020127301,0.1531671516718744
3,fSTS,l,23,face,face_first,face_noncom,0.6139828025639996,0.9085627210281874,0.3820033866499133,0.3792693751461802
3,FFA,l,106,dyad,com_ind,ind,0.8870303140420702,0.7619160753063545,0.8033545384180951,0.0211186562561171
3,FFA,l,106,face,face_first,face_noncom,0.7354663207429206,0.4878257813393226,0.6227838091567762,-0.0111377581156545
3,EBA,l,105,dyad,com_ind,ind,0.9149068348281092,0.8668483149406724,0.8692018532245074,0.0216757216598835
3,EBA,l,105,face,face_first,face_noncom,0.769814711552098,0.8647877264650035,0.7659943188251539,0.0513069001833967
3,EVC,l,249,dyad,com_ind,ind,0.9732585708104772,0.9668925688614154,0.9677657152244904,0.0023098546114558
3,EVC,l,249,face,face_first,face_noncom,0.9659916332924694,0.9700900996036176,0.9636986258919736,0.0043422405560699
3,MT,l,166,dyad,com_ind,ind,0.9920770241027432,0.9719358150951852,0.9688566762534214,0.0131497433455427
3,MT,l,166,face,face_first,face_noncom,0.9667502096477028,0.9256031626830156,0.935812234288086,0.0103644518772729
3,SI-STS,r,162,dyad,com_ind,ind,0.9679773959788311,0.8030875290172353,0.8089843816861604,0.0765480808118728
3,SI-STS,r,162,face,face_first,face_noncom,0.7390080302168244,0.7982973536079604,0.3698939218665773,0.398758770045815
3,TPJ,r,322,dyad,com_ind,ind,0.9356215199183564,0.8745307061469096,0.8649817311080159,0.0400943819246171
3,TPJ,r,322,face,face_first,face_noncom,0.7851024000429282,0.8886156628915343,0.5290984968601913,0.30776053460704
3,fSTS,r,85,dyad,com_ind,ind,0.9830198464555756,0.9679649545095386,0.9567495527815836,0.0187428477009736
3,fSTS,r,85,face,face_first,face_noncom,0.9742749574652204,0.976092709420018,0.835176986045663,0.1400068473969562
3,FFA,r,107,dyad,com_ind,ind,0.9577412846301464,0.8686673368155063,0.9178017923848972,-0.0045974816620709
3,FFA,r,107,face,face_first,face_noncom,0.9190313716144384,0.8882693535539217,0.8102138808163157,0.0934364817678643
3,EBA,r,115,dyad,com_ind,ind,0.9677780348041962,0.9377477452695236,0.9538611370508224,-0.0010982470139626
3,EBA,r,115,face,face_first,face_noncom,0.9623559524349952,0.9617929361899789,0.8933500854636509,0.0687243588488359
3,EVC,r,263,dyad,com_ind,ind,0.9838344929150892,0.9899189331981052,0.9816458896068329,0.0052308234497643
3,EVC,r,263,face,face_first,face_noncom,0.9570554501780107,0.9270422592786436,0.9154314620309666,0.0266173926973606
3,MT,r,165,dyad,com_ind,ind,0.979174004890865,0.8957931520954794,0.9579313782278106,-0.0204477997346383
3,MT,r,165,face,face_first,face_noncom,0.953153330637171,0.9819213546315276,0.946168926461854,0.0213684161724951
4,SI-STS,l,194,dyad,com_ind,ind,0.9212477666119374,0.8924465901129903,0.8956694733296535,0.0111777050328103
4,SI-STS,l,194,face,face_first,face_noncom,0.8449910782554921,0.9322842749624572,0.8096751604544317,0.078962516154543
4,TPJ,l,313,dyad,com_ind,ind,0.9058539678025812,0.7078153060566699,0.7813669224935224,0.0254677144361031
4,TPJ,l,313,face,face_first,face_noncom,0.1648735121509946,0.7973582101851145,0.5411054646552642,-0.0599896034872096
4,fSTS,l,20,dyad,com_ind,ind,0.976357797346442,0.9777274068809432,0.9624020748382353,0.0146405272754573
4,fSTS,l,20,face,face_first,face_noncom,0.9564134590733429,0.97654450310524,0.9233020187580876,0.0431769623312039
4,FFA,l,106,dyad,com_ind,ind,0.9844247010290438,0.984363703571161,0.9837804197600076,0.0006137825400946
4,FFA,l,106,face,face_first,face_noncom,0.9869416996968948,0.9863048970049376,0.9665730633725972,0.0200502349783189
4,EBA,l,106,dyad,com_ind,ind,0.9706499682435472,0.8933757440327071,0.9465174383157426,-0.0145045821776155
4,EBA,l,106,face,face_first,face_noncom,0.9148900192972832,0.949214193154898,0.8798930865933832,0.0521590196327074
4,EVC,l,249,dyad,com_ind,ind,0.9645640745121462,0.9110655889894758,0.9483102861348314,-0.0104954543840203
4,EVC,l,249,face,face_first,face_noncom,0.9496972679557818,0.9033762172616812,0.9159780564242344,0.0105586861844971
4,MT,l,166,dyad,com_ind,ind,0.9390876551213564,0.977961109050006,0.9378968885523492,0.0206274935333318
4,MT,l,166,face,face_first,face_noncom,0.9185643743389178,0.9652387551117654,0.9180763723191888,0.0238251924061528
4,SI-STS,r,146,dyad,com_ind,ind,0.8828362846912894,0.7831994506827819,0.7905189292736314,0.0424989384134042
4,SI-STS,r,146,face,face_first,face_noncom,0.8920079586146847,0.8599734920616411,0.768732437169125,0.1072582881690379
4,TPJ,r,312,dyad,com_ind,ind,0.7728104614293401,0.7506583528033972,0.6793184429174112,0.0824159641989574
4,TPJ,r,312,face,face_first,face_noncom,0.5679020214333496,0.4838395394721769,0.4613832691862698,0.0644875112664934
4,fSTS,r,88,dyad,com_ind,ind,0.8892314844169668,0.9207967323254213,0.8662860741926064,0.0387280341785876
4,fSTS,r,88,face,face_first,face_noncom,0.9195597884067752,0.8934536088546621,0.803319760699043,0.1031869379316756
4,FFA,r,107,dyad,com_ind,ind,0.9287073984334288,0.9521017870453355,0.9602501974496406,-0.0198456047102583
4,FFA,r,107,face,face_first,face_noncom,0.965932899904751,0.9874892313578476,0.7902758648483708,0.1864352007829285
4,EBA,r,144,dyad,com_ind,ind,0.9614410253665396,0.9498536804073384,0.9456224907807814,0.0100248621061576
4,EBA,r,144,face,face_first,face_noncom,0.9268180063912494,0.9499536367604398,0.8171136924533395,0.121272129122505
